epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.6888,1.28653,3.60137,3.09818,1.41256,0.00333,1,0.87893,0.61871,0.00333,1,0.86906,0.69239,0.99204,1.58573,3.30976,1.3413,0.00014,0.00014,0.00014
2,100.983,1.17057,2.17639,2.01482,1.28214,0.00333,1,0.95711,0.74357,0.00333,1,0.86987,0.59215,0.77657,2.34998,2.97293,1.29061,0.0002406,0.0002406,0.0002406
3,153.281,1.11412,1.82522,1.57487,1.23029,0.00333,1,0.995,0.79369,0.00333,1,0.995,0.74459,0.80332,1.38078,2.93973,1.25405,0.00027784,0.00027784,0.00027784
4,210.658,1.08917,1.80518,1.43368,1.20619,0.00871,1,0.995,0.79048,0.00871,1,0.995,0.75681,0.73722,1.23527,2.80979,1.26871,0.00025172,0.00025172,0.00025172
5,278.002,1.11291,1.66843,1.36075,1.1727,1,0.73612,0.995,0.8778,1,0.73612,0.995,0.77008,0.57625,1.25809,2.67989,1.16921,0.00016224,0.00016224,0.00016224
