epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,83.7922,1.04204,1.05316,0.76048,1.05095,0.99338,1,0.995,0.72491,0.99338,1,0.995,0.70204,0.9583,1.41862,0.69774,1.1226,0.001703,0.001703,0.001703
32,85.7327,1.12238,1.19532,0.71154,1.0597,0.98617,1,0.995,0.81385,0.98617,1,0.995,0.59354,0.74159,1.5236,0.64144,1.05704,0.0016931,0.0016931,0.0016931
33,87.6483,1.12373,1.36113,0.70138,1.05235,0.99483,1,0.995,0.83259,0.99483,1,0.995,0.69049,0.82574,1.50828,0.61123,1.07932,0.0016832,0.0016832,0.0016832
34,89.6002,1.05694,1.173,0.66832,1.04158,0.99314,1,0.995,0.61768,0.99314,1,0.995,0.65107,1.37812,1.6035,0.77263,1.31942,0.0016733,0.0016733,0.0016733
35,91.9386,1.06889,1.23757,0.69777,1.05709,0.98784,1,0.995,0.76334,0.98784,1,0.995,0.72386,1.03862,1.65325,0.68906,1.08369,0.0016634,0.0016634,0.0016634
36,94.5612,1.11427,1.19204,0.71848,1.06163,0.99333,1,0.995,0.76767,0.99333,1,0.995,0.73343,0.84784,1.82588,0.67448,1.03933,0.0016535,0.0016535,0.0016535
37,96.4705,1.00803,1.15026,0.68313,1.01845,0.99413,1,0.995,0.77163,0.99413,1,0.995,0.6942,0.81138,1.83822,0.64864,1.03432,0.0016436,0.0016436,0.0016436
38,98.3812,1.06551,1.10087,0.67199,1.01773,0.99567,1,0.995,0.79676,0.99696,0.90909,0.91461,0.61919,0.77807,1.9292,0.69962,1.05001,0.0016337,0.0016337,0.0016337
39,100.324,1.00339,1.15276,0.64715,0.98603,1,0.99259,0.995,0.74366,0.99191,0.90909,0.91079,0.71636,0.87465,2.06802,0.71561,1.05529,0.0016238,0.0016238,0.0016238
40,102.283,1.0434,1.25521,0.68049,1.01877,0.99881,1,0.995,0.77246,0.98548,0.90909,0.91183,0.6355,0.86147,2.31357,0.65321,1.05424,0.0016139,0.0016139,0.0016139
