epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,1729.92,0.87455,1.22987,0.71634,1.03847,0.99317,1,0.995,0.83007,0.99317,1,0.995,0.69405,0.75611,1.9679,0.74856,1.17744,0.000812,0.000812,0.000812
32,1783.65,0.81637,1.30264,0.70641,1.05013,0.99339,1,0.995,0.84297,0.99339,1,0.995,0.75615,0.74403,1.3757,0.67279,1.16026,0.0007724,0.0007724,0.0007724
33,1837.92,0.8305,1.32366,0.7138,1.03031,0.99551,1,0.995,0.82033,0.99551,1,0.995,0.7839,0.65135,1.58057,0.64316,1.11953,0.0007328,0.0007328,0.0007328
34,1892.68,0.7776,1.20708,0.67671,1.016,0.99558,1,0.995,0.85717,0.99558,1,0.995,0.78099,0.59172,1.91498,0.59688,1.09553,0.0006932,0.0006932,0.0006932
35,1947.09,0.77016,1.13282,0.67749,0.99514,0.99528,1,0.995,0.88399,0.99528,1,0.995,0.78615,0.51511,1.98795,0.59264,1.04361,0.0006536,0.0006536,0.0006536
36,2012.97,0.78912,1.14082,0.64121,1.02856,0.99677,1,0.995,0.88797,0.99677,1,0.995,0.81811,0.5579,1.81392,0.57401,1.05373,0.000614,0.000614,0.000614
37,2069.7,0.72034,1.08169,0.60394,0.98961,0.99584,1,0.995,0.86726,0.99584,1,0.995,0.81592,0.60465,1.66055,0.57452,1.07547,0.0005744,0.0005744,0.0005744
38,2123.8,0.71699,1.15755,0.61608,0.98428,0.99598,1,0.995,0.85806,0.99598,1,0.995,0.8104,0.58599,1.72313,0.59892,1.07633,0.0005348,0.0005348,0.0005348
39,2177.8,0.80219,1.21935,0.6663,1.0504,0.99546,1,0.995,0.86792,0.99546,1,0.995,0.78737,0.58199,1.96065,0.56719,1.12766,0.0004952,0.0004952,0.0004952
40,2232.49,0.70556,1.11817,0.60804,0.99334,0.99525,1,0.995,0.89165,0.99525,1,0.995,0.78076,0.58825,2.13377,0.57859,1.15257,0.0004556,0.0004556,0.0004556
41,2286.83,0.64899,0.96036,0.65048,0.9833,0.99583,1,0.995,0.82793,0.99583,1,0.995,0.78925,0.63025,1.99254,0.64116,1.17526,0.000416,0.000416,0.000416
42,2340.8,0.58659,0.86716,0.619,0.9632,0.99547,1,0.995,0.84815,0.99547,1,0.995,0.79312,0.63696,1.91235,0.61898,1.1911,0.0003764,0.0003764,0.0003764
43,2395.11,0.61401,0.8518,0.60273,0.99797,0.99512,1,0.995,0.8341,0.99512,1,0.995,0.7988,0.60967,1.84244,0.58977,1.16768,0.0003368,0.0003368,0.0003368
44,2449.56,0.56826,0.82166,0.60108,0.95289,0.99484,1,0.995,0.86172,0.99484,1,0.995,0.79711,0.52226,1.70763,0.52856,1.0884,0.0002972,0.0002972,0.0002972
45,2502.8,0.56788,0.83857,0.56947,0.93285,0.9947,1,0.995,0.89355,0.9947,1,0.995,0.79144,0.49146,1.68623,0.51294,1.0632,0.0002576,0.0002576,0.0002576
46,2557.52,0.53049,0.8659,0.54098,0.88997,0.99475,1,0.995,0.89572,0.99475,1,0.995,0.80767,0.50684,1.7875,0.52425,1.08497,0.000218,0.000218,0.000218
47,2612.14,0.50572,0.80985,0.54692,0.91299,0.9947,1,0.995,0.86457,0.9947,1,0.995,0.79307,0.52586,1.93046,0.52045,1.1025,0.0001784,0.0001784,0.0001784
48,2668.01,0.5049,0.77204,0.51,0.90323,0.99465,1,0.995,0.84994,0.99465,1,0.995,0.78604,0.54955,2.06045,0.50188,1.12178,0.0001388,0.0001388,0.0001388
49,2721.58,0.4939,0.78181,0.50687,0.88458,0.99495,1,0.995,0.85842,0.99495,1,0.995,0.78704,0.55106,2.14619,0.49983,1.11736,9.92e-05,9.92e-05,9.92e-05
50,2775.76,0.5183,0.82926,0.53305,0.91145,0.99484,1,0.995,0.85842,0.90764,0.90909,0.90522,0.77807,0.53875,2.15585,0.49918,1.10574,5.96e-05,5.96e-05,5.96e-05
